folder_name,file_count,predicted_purpose,buckets,sample_file_1,sample_file_2,sample_file_3,select
-701 Windmill Ave-MIT - 701 Windmill Ave,0,unknown,(empty),,,,
0122-0001EWM - 1117 Aron Pl,0,unknown,(empty),,,,
0122-0002EWM - 22 Southwood Cir,0,unknown,(empty),,,,
0122-0011REB - 125 Sherwood Ave,0,unknown,(empty),,,,
0122-0014EFM - 65 Wall St,0,unknown,(empty),,,,
0122-0018REB - 54 Schneider Ln,0,unknown,(empty),,,,
0123-0001EWM - 24 Hickory St,0,unknown,(empty),,,,
0123-0002CAT3 - 28 Burling Ln S,0,unknown,(empty),,,,
0123-0007Asb - 7 Miami Pl,0,unknown,(empty),,,,
0123-0009PO - 1A Gerald Ln,0,unknown,(empty),,,,
0123-0011PO - 2 Chuck Ct,0,unknown,(empty),,,,
0123-0014REB - 119 Sportsmans Ave,0,unknown,(empty),,,,
0123-0015EWM - 425 Clearmeadow Dr,0,unknown,(empty),,,,
0123-0019EWM - 44 Bradbury Ave,0,unknown,(empty),,,,
0123-0023EPB - 12 Windward Ln,0,unknown,(empty),,,,
0123-0030EWM - 109-100 196th St,0,unknown,(empty),,,,
0123-0031PO - 64 The Blvd,0,unknown,(empty),,,,
0123-0032REB - 64 The Blvd,0,unknown,(empty),,,,
0124-0009CAT3 - 72 17th St,0,unknown,(empty),,,,
0222-0026REB - 35 Skipper Dr,0,unknown,(empty),,,,
0222-0030ESD - 2429 7th St,0,unknown,(empty),,,,
0222-0031CAT3 - 18 Vanderbilt Way,0,unknown,(empty),,,,
0222-0041ESD - 20 Sylvia Cir,0,unknown,(empty),,,,
0222-0045EPB - 26 Kameo Dr,0,unknown,(empty),,,,
0223-0039REB - 681 N Alleghany Ave,0,unknown,(empty),,,,
0223-0042CC - 1A Gerald Ln,0,unknown,(empty),,,,
0223-0044EWM - 80 Franklin Ave,0,unknown,(empty),,,,
0223-0050CAT3 - 38 Jerold St,0,unknown,(empty),,,,
0322-0047REB - 45 Old Orchard Rd,0,unknown,(empty),,,,
0322-0050ESD - 317 Wythe Ave,0,unknown,(empty),,,,
0322-0052REB - 25 3rd Ave,0,unknown,(empty),,,,
0322-0054REB - 37 Norton Dr,0,unknown,(empty),,,,
0322-0055EWM - 240 Muncy Ave,0,unknown,(empty),,,,
0322-0057EPB - 339 Riviera Pkwy,0,unknown,(empty),,,,
0322-0058EFM - 39 Homestead Dr,0,unknown,(empty),,,,
0322-0060REB - 333 Broadway,0,unknown,(empty),,,,
0322-0063EWM - 15 Lowell Dr,0,unknown,(empty),,,,
0322-0064EFM - 757 Jackson Ave,0,unknown,(empty),,,,
0322-0065EPB - 131 Miller Ave,0,unknown,(empty),,,,
0323-0059EPB - 1190 Stewart Ave,0,unknown,(empty),,,,
0323-0060PO - 533 N Monroe Ave,0,unknown,(empty),,,,
0323-0064CON - 32 Easton St,0,unknown,(empty),,,,
0323-0065CAT3 - 300 Ribbon St,0,unknown,(empty),,,,
0323-0069REB - 2164 Grove St,0,unknown,(empty),,,,
0323-0070BU - 47 Marshall Dr,0,unknown,(empty),,,,
0324-0109EWM - 143 Poplar St,0,unknown,(empty),,,,
0324-0112REB - 239 W 9th St,0,unknown,(empty),,,,
0324-0117EPB - 26 Walnut St,0,unknown,(empty),,,,
0324-0119STOW - 26 Walnut St,0,unknown,(empty),,,,
0324-0120SC - 26 Walnut St,0,unknown,(empty),,,,
0324-0121CC - 26 Walnut St,0,unknown,(empty),,,,
0324-0123TXL - 26 Walnut St,0,unknown,(empty),,,,
0324-0124CON - 26 Walnut St,0,unknown,(empty),,,,
0324-0153REB - 2279 Oxford St,0,unknown,(empty),,,,
0422-0068MLD - 15 Scott Ave,0,unknown,(empty),,,,
0422-0074PO - 240 Muncy Ave,0,unknown,(empty),,,,
0422-0078EWM - 83 Snowberry Ln,0,unknown,(empty),,,,
0422-0081PO - 83 Snowberry Ln,0,unknown,(empty),,,,
0422-0082REB - 757 Jackson Ave,0,unknown,(empty),,,,
0422-0083EWM - 5 Overhill Dr,0,unknown,(empty),,,,
0422-0085EWM - 36 Owens St,0,unknown,(empty),,,,
0422-0088EWM - 8 Valerie Pl,0,unknown,(empty),,,,
0422-0089REB - 8 Valerie Pl,0,unknown,(empty),,,,
0422-0092REB - 36 Owens St,0,unknown,(empty),,,,
0422-0093REB - 83 Snowberry Ln,0,unknown,(empty),,,,
0422-0094REB - 5 Overhill Dr,0,unknown,(empty),,,,
0422-0095EPB - 26 Lakeview Ave,0,unknown,(empty),,,,
0422-0097PO - 36 Owens St,0,unknown,(empty),,,,
0423-0073REB - 164 Bellmore St,0,unknown,(empty),,,,
0423-0075PO - 164 Bellmore St,0,unknown,(empty),,,,
0423-0080CAT3 - 357 Walton St,0,unknown,(empty),,,,
0424-0199SC - Apple St,0,unknown,(empty),,,,
0522-0099EWM - 85 W Marshall St,0,unknown,(empty),,,,
0522-0100REB - 181 Elm St,0,unknown,(empty),,,,
0522-0101EWM - 181 Elm St,0,unknown,(empty),,,,
0522-0103REB - 462 Cold Spring Rd,0,unknown,(empty),,,,
0522-0104EFM - 33 Twin Ln N,0,unknown,(empty),,,,
0522-0106REB - 243 42nd St,0,unknown,(empty),,,,
0522-0107ESD - 82 Inlet Dr,0,unknown,(empty),,,,
0522-0108EWM - 18 Horizon Ct,0,unknown,(empty),,,,
0522-0109ESD - 225 W 17th St,0,unknown,(empty),,,,
0522-0110REB - 18 Horizon Ct,0,unknown,(empty),,,,
0522-0111REB - 18 Timber Ridge Dr,0,unknown,(empty),,,,
0522-0114PO - 18 Horizon Ct,0,unknown,(empty),,,,
0522-0119VAN - 1203 August Rd,0,unknown,(empty),,,,
0522-0122REB - 59 S 25th St,0,unknown,(empty),,,,
0522-0126CAT3 - 745 Nicolls Rd,0,unknown,(empty),,,,
0523-0087PO - 26 Underhill Ave,0,unknown,(empty),,,,
0523-0088PB - 26 Underhill Ave,0,unknown,(empty),,,,
0523-0089REB - 26 Underhill Ave,0,unknown,(empty),,,,
0523-0091REB - 752 Windmill Ave,0,unknown,(empty),,,,
0524-0211CAT3 - 105 Finucane Pl,0,unknown,(empty),,,,
05_22_Boodie,3,property_appraisal,"other=2, contract=1",Bodie Inside Bathroom Wall Cut_CAT3 Sewage.pdf,HENRY_BOODIE-BB_FINAL_DRAFT.pdf,Boodie Rebuild Contract_May-2022.pdf,
05_22_FRANKLIN,7,unknown,other=7,Franklin_BB_.pdf,LEWIS_FRANKLIN-BB_FINAL_DRAFT.pdf,LEWIS_FRANKLIN-MIT_FINAL_DRAFT.pdf,
0621-0004WTR - 870 Roxbury Dr,0,unknown,(empty),,,,
0622-0128REB - 135 Connecticut Ave,0,unknown,(empty),,,,
0622-0130Asb - 27 Roosevelt Ave,0,unknown,(empty),,,,
0622-0132EWM - 1973 Lincoln Ave,0,unknown,(empty),,,,
0622-0138PO - 14 Pleasant Pl,0,unknown,(empty),,,,
0622-0143EPB - 95 Prairie Dr,0,unknown,(empty),,,,
0623-0092CON - 164 Bellmore St,0,unknown,(empty),,,,
0623-0093REB - 425 Clearmeadow Dr,0,unknown,(empty),,,,
0623-0095EWM - E 4th St,0,unknown,(empty),,,,
0623-0098REB - 12 Woodward Pkwy,0,unknown,(empty),,,,
0624-0217REB - 105 Finucane Pl,0,unknown,(empty),,,,
06_22_Johnson,0,unknown,(empty),,,,
